X (mg);Y (mg);Z (mg)
50;6;16
81;1;-5
75;-30;-13
57;-38;1
14;-34;-3
-13;-21;35
-21;1;34
0;-6;-8
-20;10;26
-41;86;23
-22;69;-22
7;24;-44
22;10;-5
31;-24;8
35;-59;-18
22;-67;14
9;-17;13
37;10;-26
33;11;0
13;21;-6
16;35;0
29;19;-20
51;15;-16
70;5;34
57;-38;44
21;-66;15
14;-37;-9
15;-14;-23
10;-7;-25
18;11;-19
34;24;-13
41;-17;4
26;-26;34
38;7;12
57;8;-17
72;28;-5
69;19;-11
56;17;-3
63;16;-14
61;-8;-5
16;-34;0
-2;-54;-35
-3;-50;1
10;-57;-24
35;-51;-43
55;-17;-28
45;-1;-21
8;4;13
-38;-3;41
-97;-2;40
-113;64;46
-114;90;33
-103;76;-13
-106;27;15
-117;-7;38
-95;-36;6
-104;-37;32
-138;18;96
-146;60;45
-171;59;35
-214;28;48
-188;81;2
-173;50;-46
-151;80;-75
-126;78;-43
-151;37;-67
-163;23;-5
-201;-28;-5
-216;-24;-18
-159;50;41
-114;29;-16
-124;42;23
-119;98;-43
-90;53;-28
-119;63;10
-119;63;10
-133;29;-4
-112;7;-9
-55;-1;-49
-22;36;-23
-78;40;17
-154;47;-45
-115;10;-9
-121;36;31
-91;65;-62
-31;-9;-16
-33;2;-35
-24;-19;-21
-28;-13;4
-32;43;-10
-22;-1;-72
-36;31;-57
-28;7;-46
-31;-1;-12
-31;44;-20
-33;-1;-29
-40;10;-39
-31;16;-36
-5;39;-31
52;44;-33
56;20;-46
11;-35;-24
-20;-36;-41
12;29;-29
52;-18;-51
25;10;-40
1;26;-36
20;-1;-56
39;14;-17
30;26;11
30;58;-19
83;13;-76
66;22;-35
14;29;-36
-9;-6;-14
-4;-5;3
28;-49;-14
41;-29;4
47;19;-14
53;50;13
38;39;-21
7;31;-33
-1;32;-18
55;31;-10
85;10;-24
75;-16;-8
28;-29;-71
27;-66;-5
25;-24;-9
32;-25;-7
63;-51;-35
70;19;-12
95;20;8
68;18;36
25;64;45
104;28;12
171;-30;71
105;22;43
132;23;148
112;31;35
124;-61;85
111;-163;106
-13;-103;79
-8;-18;56
118;-101;-8
174;-54;2
201;-69;24
202;-91;43
100;-88;-28
140;-50;21
156;-35;6
126;-23;38
156;-48;117
153;-67;122
192;-114;141
201;-170;171
153;-185;193
160;-155;250
169;-101;204
160;-97;128
117;-103;117
-11;-113;138
-2;-122;114
94;-128;73
158;-48;101
144;-9;113
79;23;30
43;34;-10
25;-10;-38
-9;-38;-16
15;-32;25
28;0;88
-46;23;11
-25;11;-7
47;-33;61
-35;-12;12
-37;34;45
80;26;38
92;-24;0
44;-46;36
52;-70;72
48;-76;31
53;-44;38
87;-43;54
101;-36;57
115;-26;108
124;-115;211
11;-137;112
20;-88;118
134;-52;103
145;42;40
131;109;85
167;54;16
242;-48;27
244;-191;157
68;-277;191
-108;-126;142
-68;94;90
129;164;-34
314;67;-107
323;5;-81
223;-23;113
72;-114;203
-138;-5;67
-95;138;267
-18;13;-16
65;-138;-108
223;-249;-77
365;-143;-55
388;-58;70
128;27;143
-118;294;55
-132;350;13
-82;16;-27
-98;-154;-126
66;-197;-176
224;-188;-38
246;-72;-44
279;121;62
133;181;80
-57;166;185
-291;23;59
-196;4;-112
185;-36;-177
263;-83;-150
198;-50;15
-51;-174;271
-243;-14;-33
20;185;-36
125;16;-41
-53;-81;-62
56;45;-104
226;17;46
114;-33;-39
39;120;-94
-15;154;77
-100;43;123
-123;20;28
-66;11;-74
19;12;22
-70;-97;-30
-44;-54;-119
56;-160;-17
-49;-156;-23
-20;76;-81
14;184;38
-15;138;-72
14;74;32
-59;22;34
-45;-58;-8
-111;-160;51
-150;-123;-97
27;2;-95
62;41;-86
50;55;-116
6;49;47
-130;51;16
-91;67;9
-81;67;150
-89;-5;-15
6;-92;-73
46;-131;-15
30;-66;-41
87;21;-16
24;66;-1
-119;86;-9
-152;103;21
-50;84;-11
-40;-4;-22
1;-11;-19
98;-5;8
154;13;30
85;43;109
-47;30;36
-91;-6;-44
-82;66;-16
-18;148;-140
31;65;-127
33;-4;-95
55;-23;-19
48;-66;34
20;-41;111
-27;-8;133
-56;-15;133
-89;-7;45
-102;8;-50
-80;58;-257
26;78;-208
