mean_x;mean_y;mean_z;var_x;var_y;var_z;peak_to_peak_x;peak_to_peak_y;peak_to_peak_z;zero_crossings_x;zero_crossings_y;zero_crossings_z;Activity
-865.33;471.22;124.03;12533.99;15365.84;5158.07;409;341;308;0;0;0;Plank
-699.57;592.38;400.13;5511.71;4108.17;3600.62;265;279;248;0;0;0;Plank
-748.05;570.02;362.83;292.45;605.28;206.37;88;111;82;0;0;0;Plank
-733.87;588.02;361.18;25.28;72.02;15.88;33;59;22;0;0;0;Plank
-728.67;590.9;366.75;46.22;130.92;58.29;44;58;31;0;0;0;Plank
-618.78;682.73;315.58;19634.3;11864.0;29224.41;480;343;677;0;0;1;Plank
-701.68;653.72;199.97;8430.92;10871.0;21917.53;354;441;484;0;0;7;Plank
-728.37;537.93;460.88;1230.43;925.53;564.7;166;160;105;0;0;0;Plank
-717.55;542.9;462.82;22.28;24.76;51.02;26;27;31;0;0;0;Plank
-722.7;549.45;445.03;21.11;30.91;52.37;32;30;41;0;0;0;Plank
-715.38;502.4;511.53;3002.8;4775.77;9731.65;290;281;467;0;0;0;Plank
-656.48;426.57;648.6;956.85;629.21;1163.27;134;127;222;0;0;0;Plank
-605.88;482.98;667.37;3249.87;3382.95;5028.27;344;335;358;0;0;0;Plank
-597.53;500.25;658.65;996.88;1745.49;2486.09;165;203;255;0;0;0;Plank
-697.98;516.42;528.72;5792.08;3725.08;12917.87;292;255;408;0;0;0;Plank
-127.38;405.9;933.65;6618.64;15847.39;15304.89;480;579;649;2;0;0;Plank
-111.1;360.47;963.25;4798.06;6204.68;11437.85;283;367;574;4;0;0;Plank
-102.35;353.63;960.75;2277.69;3873.1;7835.19;236;302;556;0;0;0;Plank
-74.65;380.62;959.28;5213.26;2794.7;2146.7;303;247;188;10;0;0;Plank
-103.23;393.18;954.48;5744.95;2751.05;1885.05;326;233;227;4;0;0;Plank
-441.02;628.12;431.45;223156.05;43399.07;41092.75;1416;941;899;3;0;0;Plank
-294.3;414.3;856.8;13999.04;13911.78;8161.56;702;451;515;0;0;0;Plank
-645.68;496.7;221.53;112268.98;40790.14;152306.85;1014;753;1321;0;0;3;Plank
-714.95;231.82;-583.03;22386.21;13583.98;33187.5;474;510;566;0;2;0;Plank
-439.02;1.2;-872.42;1093.22;2191.56;2144.14;175;313;266;0;13;0;Plank
-417.53;3.53;-882.82;670.98;5038.08;604.92;136;316;141;0;6;0;Plank
-427.53;54.32;-876.88;16.15;34.25;25.3;16;30;23;0;0;0;Plank
-435.0;183.02;-844.67;501.47;17101.55;2246.72;133;374;194;0;0;0;Plank
-413.45;307.73;-825.63;82.91;660.56;234.6;40;98;73;0;0;0;Plank
-428.77;149.28;-862.67;236.58;2580.3;466.69;70;217;89;0;0;0;Plank
-414.43;117.8;-876.82;13.55;75.69;30.88;19;40;25;0;0;0;Plank
-317.02;129.35;-230.85;24138.42;3610.29;799891.79;419;398;2017;0;2;1;Plank
-104.28;176.87;1017.05;50.54;689.35;24.65;33;114;26;0;0;0;Plank
-92.17;288.85;986.83;7007.27;12322.46;6553.44;467;566;575;4;2;0;Plank
-93.27;378.27;955.08;86.8;444.36;258.31;41;108;111;0;0;0;Plank
-94.1;390.55;948.27;51.46;673.45;140.93;42;129;71;0;0;0;Plank
-92.38;397.22;946.1;159.4;1436.7;416.52;67;173;123;0;0;0;Plank
-93.78;377.58;955.07;52.57;441.98;163.8;39;88;95;0;0;0;Plank
-107.9;352.92;966.72;786.86;607.58;488.2;140;135;143;0;0;0;Plank
-157.75;204.5;999.37;11681.05;5787.92;2154.2;532;492;329;6;2;0;Plank
-102.07;293.05;985.37;1269.36;1164.85;413.93;165;170;102;2;0;0;Plank
-118.1;346.02;962.6;4758.22;2617.05;1313.24;262;244;191;0;0;0;Plank
-174.4;374.2;945.42;1248.34;225.33;457.64;122;83;166;0;0;0;Plank
-148.5;384.85;945.2;33.92;16.73;16.39;26;21;21;0;0;0;Plank
-151.5;385.62;944.5;11.68;3.84;6.42;17;8;12;0;0;0;Plank
-145.25;387.52;944.55;33.12;99.32;57.05;25;96;61;0;0;0;Plank
-140.67;390.32;944.17;54.59;55.65;25.57;28;41;34;0;0;0;Plank
-120.3;413.43;936.6;238.98;214.15;22.17;60;54;23;0;0;0;Plank
-89.43;409.08;940.77;87.41;266.24;80.18;55;79;45;0;0;0;Plank
-84.87;413.32;940.28;19.85;29.52;16.0;24;24;21;0;0;0;Plank
-95.05;400.97;944.8;12.31;10.5;5.03;21;18;13;0;0;0;Plank
-95.63;399.7;945.9;3.97;1.94;2.02;7;7;7;0;0;0;Plank
-89.4;401.58;945.18;41.71;27.68;10.15;27;33;17;0;0;0;Plank
-95.65;389.18;949.35;69.76;50.75;12.59;41;35;20;0;0;0;Plank
-91.83;391.42;949.82;43.91;14.48;21.92;30;20;31;0;0;0;Plank
-89.12;393.08;949.22;6.7;3.91;2.67;10;7;7;0;0;0;Plank
-94.62;393.78;948.72;27.64;2.1;3.74;19;7;7;0;0;0;Plank
-95.45;393.0;948.67;23.18;9.33;21.62;29;16;29;0;0;0;Plank
-100.08;392.68;948.27;103.84;47.55;45.06;53;42;39;0;0;0;Plank
-108.12;403.0;942.47;854.37;564.53;270.38;144;139;90;0;0;0;Plank
-47.75;399.77;949.4;228.02;361.91;155.07;90;106;61;0;0;0;Plank
-82.05;383.42;952.43;987.28;973.04;378.68;176;161;108;0;0;0;Plank
-96.12;292.33;988.2;606.17;2224.39;993.36;120;158;176;0;0;0;Plank
-72.78;352.67;967.7;17.27;8.89;15.88;16;16;20;0;0;0;Plank
-68.95;360.52;965.05;6.51;18.28;20.41;14;19;21;0;0;0;Plank
-67.98;362.35;964.45;6.55;23.33;18.41;12;24;21;0;0;0;Plank
-25.48;401.48;945.02;2014.72;5570.35;2824.15;170;355;272;13;0;0;Plank
166.48;505.87;840.27;15799.45;16909.22;23327.23;477;757;722;3;0;0;Plank
200.65;826.32;535.3;2790.29;4899.88;6451.81;392;592;657;0;0;0;Plank
255.98;799.23;534.92;5466.18;7232.05;4865.44;256;474;401;0;0;0;Plank
329.78;766.2;549.98;1175.47;628.49;783.15;178;126;110;0;0;0;Plank
-325.58;517.95;743.52;58887.78;67779.95;27138.38;861;1062;821;1;2;0;Plank
-557.72;319.28;802.5;57.77;166.07;74.12;35;70;49;0;0;0;Plank
-553.4;315.98;808.57;4.41;7.62;4.55;9;16;11;0;0;0;Plank
-553.48;316.12;808.5;7.82;11.54;9.58;14;17;15;0;0;0;Plank
-570.52;312.88;797.28;73.25;315.44;185.54;63;131;110;0;0;0;Plank
-541.65;358.28;795.95;525.29;1014.77;64.38;80;105;43;0;0;0;Plank
-435.52;455.42;799.12;6979.32;9277.78;3402.07;307;363;269;0;0;0;Plank
-414.08;418.33;843.98;1173.81;1189.49;961.18;180;206;198;0;0;0;Plank
-348.18;692.72;621.18;10896.38;13835.67;19348.78;395;527;460;0;0;0;Plank
-502.48;402.18;754.45;69776.52;24189.72;12907.65;1066;651;476;1;0;0;Plank
-50.45;310.62;950.02;26803.75;7588.54;12754.68;762;455;704;3;0;0;Plank
-124.63;387.02;948.57;502.0;1710.75;1426.88;100;182;188;0;0;0;Plank
-90.15;403.42;944.62;109.69;903.61;311.7;53;179;128;0;0;0;Plank
-85.68;415.32;939.1;234.18;505.15;371.79;85;117;121;0;0;0;Plank
-80.93;414.12;940.2;27.23;39.8;11.63;27;37;17;0;0;0;Plank
-79.53;438.38;927.93;22.78;121.57;28.6;23;48;22;0;0;0;Plank
-78.45;451.42;921.2;15.51;55.98;4.73;15;59;10;0;0;0;Plank
-78.3;458.32;917.17;19.54;16.25;3.17;24;19;9;0;0;0;Plank
-77.38;462.22;915.3;15.44;18.67;3.44;20;20;9;0;0;0;Plank
-74.2;490.07;898.67;255.63;1537.06;799.19;109;180;196;0;0;0;Plank
-77.07;491.13;897.97;95.56;749.25;167.67;65;123;66;0;0;0;Plank
-82.28;468.28;911.73;34.94;403.54;122.1;34;119;90;0;0;0;Plank
-127.97;390.8;931.37;10425.87;21090.73;6477.5;483;692;435;2;0;0;Plank
-154.3;71.15;1009.93;16613.61;19020.63;3864.86;434;620;350;2;3;0;Plank
-71.28;-541.23;875.13;7445.24;15712.98;7914.95;352;708;427;18;0;0;Plank
-208.73;-768.88;644.17;7049.13;4685.34;3693.64;365;433;324;0;0;0;Plank
-323.05;-905.03;346.55;12568.51;9771.43;14793.81;674;513;665;2;0;0;Plank
20.53;-930.5;311.92;48995.62;5401.42;27041.64;706;478;629;1;0;4;Plank
100.45;-910.1;439.67;421.98;2993.06;17451.39;148;243;475;0;0;0;Plank
88.08;-866.78;551.1;61.61;99.04;134.86;48;60;73;0;0;0;Plank
78.22;-856.62;569.22;54.97;105.87;358.0;31;38;78;0;0;0;Plank
55.7;-930.67;238.97;11856.84;8815.16;109550.67;512;384;976;5;0;5;Plank
-75.95;-989.02;-177.52;1695.38;966.05;2926.72;219;161;242;3;0;0;Plank
-93.17;-1003.95;-19.27;3376.61;3524.68;17098.56;306;246;559;4;0;11;Plank
-56.42;-1001.92;-70.82;9491.61;6676.31;6051.15;406;442;389;10;0;9;Plank
-61.65;-1015.13;28.53;799.29;1554.85;2148.52;175;290;253;2;0;13;Plank
20.83;-1011.6;37.75;10828.01;5537.87;15570.12;504;350;727;13;0;19;Plank
-436.18;-845.28;-273.87;50174.08;19351.47;39904.42;806;661;1051;0;0;5;Plank
-313.48;-936.52;-154.93;32687.75;9011.55;24776.53;644;492;697;0;0;8;Plank
130.37;-963.8;194.92;15167.93;4273.23;36011.61;541;330;684;10;0;6;Plank
-85.22;-846.25;575.4;3260.07;5493.59;9529.97;265;332;336;4;0;0;Plank
-37.17;-775.26;686.13;54.4;61.76;83.85;29;33;41;0;0;0;Plank
159.73;-45.8;231.2;21737.76;14162.66;27440.03;475;512;638;3;8;2;SquatJack
-7.78;207.4;75.75;6838.24;87148.91;27137.85;381;1285;590;11;5;6;SquatJack
150.43;21.15;47.13;5286.51;16033.59;18541.15;360;519;582;0;9;10;SquatJack
21.32;-81.17;45.03;16674.65;81952.67;27029.87;449;899;519;5;3;5;SquatJack
62.03;-7.93;-47.97;12891.8;93855.93;31096.47;517;1624;1015;11;7;12;SquatJack
11.0;3.35;-15.47;3064.33;3096.59;3545.58;227;228;223;7;12;12;SquatJack
36.28;-48.75;50.03;4022.7;21238.92;23028.27;253;642;500;9;6;5;SquatJack
10.35;61.15;-46.85;1395.53;2552.66;1468.33;134;244;176;3;9;3;SquatJack
-11.72;41.07;52.58;5196.57;6103.16;9188.78;292;338;355;6;4;5;SquatJack
10.63;5.58;-64.48;594.2;3657.11;2552.48;105;252;266;12;14;1;SquatJack
57.22;4.1;-83.03;1611.44;2394.66;1382.53;176;190;155;2;13;0;SquatJack
84.75;30.83;77.07;1727.15;1536.21;7924.26;152;154;341;0;15;5;SquatJack
17.55;-20.92;145.25;673.91;2933.38;8747.35;124;242;275;10;17;0;SquatJack
27.83;33.92;2.3;332.57;561.31;1475.71;92;113;157;4;11;9;SquatJack
14.32;-2.42;-29.12;729.58;1002.28;3124.17;107;142;243;5;15;3;SquatJack
14.42;0.23;-52.98;346.48;3257.95;2621.98;75;272;230;13;15;5;SquatJack
32.63;-6.02;-59.63;832.0;1638.62;1548.93;134;207;217;6;11;2;SquatJack
81.85;21.43;-24.8;998.79;6054.08;3891.23;133;335;316;0;12;7;SquatJack
21.22;-7.82;199.37;1680.54;3542.45;4570.33;166;257;232;13;18;0;SquatJack
41.27;2.22;21.02;497.23;2113.27;1952.92;99;204;205;3;14;12;SquatJack
20.7;9.47;-51.9;217.91;1035.85;1469.69;55;151;154;3;20;6;SquatJack
13.97;-6.95;-13.43;499.67;2296.95;3189.68;111;201;232;10;14;8;SquatJack
24.77;-7.48;-78.07;734.75;1109.68;1574.0;98;171;189;8;13;0;SquatJack
74.95;6.32;-38.43;749.95;4016.98;2030.65;119;233;186;0;6;4;SquatJack
69.58;-6.68;168.35;3148.94;3943.02;15216.66;196;268;404;3;11;3;SquatJack
30.13;-6.82;65.62;375.22;1587.98;1931.1;81;192;245;4;17;2;SquatJack
35.78;7.87;-34.48;203.64;818.08;1463.75;63;126;161;0;18;5;SquatJack
18.23;-10.93;-14.25;561.81;1173.56;709.82;109;159;120;9;15;9;SquatJack
11.32;-3.92;-40.18;337.28;1311.01;2116.05;79;174;171;7;14;4;SquatJack
38.95;-32.9;-57.63;1355.38;4499.02;3458.53;168;406;255;8;7;6;SquatJack
137.58;34.15;-42.42;1473.28;1093.83;3077.51;170;148;255;0;9;9;SquatJack
54.63;-1.98;231.48;3232.73;3386.05;4901.62;202;286;276;8;15;0;SquatJack
48.87;10.0;24.38;438.65;1192.0;3903.94;87;127;252;0;19;12;SquatJack
31.73;-9.23;-9.68;216.86;786.38;2112.72;75;130;207;3;14;10;SquatJack
22.07;0.13;-28.18;280.76;1086.12;1269.95;73;156;152;6;21;11;SquatJack
16.4;-15.6;-34.08;361.24;1524.31;1249.61;84;161;149;9;11;9;SquatJack
14.62;-12.32;-35.62;449.54;1878.15;1325.34;106;174;141;15;14;10;SquatJack
77.38;-2.87;-48.17;805.84;7009.18;2516.54;123;410;241;0;12;3;SquatJack
55.77;0.8;108.55;2130.81;11186.89;6804.35;182;468;401;5;14;2;SquatJack
18.97;-13.5;101.02;623.73;1758.12;8288.48;107;180;350;5;14;7;SquatJack
37.43;9.02;-12.25;257.35;1654.15;1630.19;87;184;174;0;15;15;SquatJack
19.85;-7.13;-26.67;228.49;1104.25;2034.36;70;153;198;8;14;5;SquatJack
11.1;-23.63;-34.97;282.82;634.03;2435.93;64;115;220;11;8;10;SquatJack
33.53;-22.2;-48.15;601.42;1595.53;1296.76;105;168;163;4;12;7;SquatJack
44.82;-7.13;-9.68;1278.58;6967.02;6534.08;148;370;313;8;14;9;SquatJack
63.32;14.98;91.28;2315.02;6592.72;17635.84;211;378;457;3;20;5;SquatJack
29.02;2.48;106.83;611.15;1908.52;19081.11;122;205;457;7;17;9;SquatJack
38.38;-9.48;-26.8;316.2;1370.28;1044.03;85;162;134;0;15;7;SquatJack
19.28;-7.18;-15.18;223.4;688.05;1094.85;66;123;134;7;10;11;SquatJack
18.33;-21.97;-69.42;626.06;1450.27;882.61;97;171;134;10;9;0;SquatJack
71.1;-14.0;-60.05;1447.39;5226.53;1594.21;185;350;163;0;11;2;SquatJack
75.93;-9.55;109.48;2648.33;6541.78;11543.95;228;309;404;4;11;7;SquatJack
28.63;-36.48;107.28;739.1;3820.15;9664.47;118;300;350;6;12;5;SquatJack
38.2;12.43;-42.25;420.03;4064.81;2596.95;73;240;225;3;12;9;SquatJack
22.07;-14.0;-18.6;154.66;2001.83;1168.14;56;205;144;4;14;8;SquatJack
13.33;-16.62;-29.4;1235.12;5492.27;9210.67;192;375;434;11;14;6;SquatJack
-2.3;5.25;17.8;1350.24;20364.59;14817.29;187;819;552;14;12;11;SquatJack
36.6;-39.17;-79.6;2205.44;5496.81;7772.47;212;393;413;6;12;7;SquatJack
96.6;4.65;-3.62;1264.54;3330.93;7985.17;152;301;456;0;22;17;SquatJack
20.23;-11.87;182.72;1464.38;2464.65;10921.54;161;264;384;12;20;3;SquatJack
35.42;-6.03;12.25;513.41;707.07;3245.75;90;104;238;8;14;9;SquatJack
23.05;-5.52;-56.45;767.08;1579.08;7469.18;109;198;402;8;16;9;SquatJack
13.18;-6.28;-11.65;180.85;620.27;915.59;54;97;112;9;13;10;SquatJack
21.35;-35.02;-42.1;179.19;605.85;361.12;50;97;84;4;8;0;SquatJack
81.23;19.5;-43.68;1259.38;1302.55;3413.98;150;155;244;0;17;10;SquatJack
74.95;9.28;97.53;1734.51;5589.8;7118.98;196;354;303;3;15;10;SquatJack
11.93;-21.57;3.62;1995.36;4363.28;10451.0;186;305;433;15;17;6;SquatJack
22.07;-3.15;118.6;836.73;1059.93;6154.17;116;169;298;8;18;2;SquatJack
44.57;14.17;7.92;426.78;2814.44;2477.34;94;228;250;2;16;13;SquatJack
37.68;-3.75;-22.65;282.68;1012.39;1758.89;68;170;187;0;13;10;SquatJack
25.82;-19.92;-61.45;434.28;1058.31;1611.61;85;147;169;4;15;1;SquatJack
72.67;-32.18;-68.43;1316.02;3632.18;3436.85;179;293;276;2;9;5;SquatJack
109.93;34.65;35.48;1227.9;8263.53;8976.08;157;387;503;0;15;6;SquatJack
17.78;-15.28;183.75;1349.37;3179.24;19805.32;163;267;494;14;14;2;SquatJack
42.18;3.83;-7.13;222.92;922.77;1349.78;69;142;148;0;15;8;SquatJack
29.67;-5.23;-32.08;309.79;688.41;920.54;82;100;120;3;17;5;SquatJack
21.2;-28.9;-37.92;203.09;824.26;1918.04;54;148;164;4;5;6;SquatJack
33.97;-24.7;-36.77;304.3;735.91;1547.11;75;112;172;0;9;9;SquatJack
40.17;14.32;-9.2;1791.74;4520.48;1632.96;167;317;218;5;11;18;SquatJack
55.73;-10.28;51.42;1557.2;9149.7;13662.78;161;369;458;6;15;9;SquatJack
30.28;-27.63;137.35;1242.97;1349.63;16648.09;160;164;457;9;8;3;SquatJack
43.85;5.7;-40.48;403.73;1100.94;722.35;87;174;117;0;15;6;SquatJack
27.0;-13.92;-36.78;347.93;1020.81;373.0;90;118;93;2;5;3;SquatJack
28.13;-31.07;-47.13;378.62;1344.13;868.45;99;136;128;1;5;2;SquatJack
27.17;7.87;15.98;897.74;2945.25;2861.88;153;217;247;6;10;10;SquatJack
12.18;7.12;-14.48;3261.85;7169.94;13450.78;346;416;471;13;16;9;SquatJack
91.33;-16.78;20.12;2690.79;4230.44;23328.64;259;297;592;2;18;5;SquatJack
40.0;-22.0;165.02;961.37;3655.07;21041.45;124;234;427;3;12;4;SquatJack
58.82;16.58;-17.2;118.85;1327.48;1299.06;50;151;137;0;14;10;SquatJack
21.43;-24.92;-75.25;5610.45;2184.21;570.62;303;197;150;1;7;0;SquatJack
-17.08;18.6;-58.52;1922.18;15160.67;7104.12;206;599;467;17;11;4;SquatJack
97.67;-35.47;86.15;16392.46;30206.85;17134.53;637;933;838;6;11;10;SquatJack
18.97;3.17;-10.77;3072.07;3481.91;2579.71;198;270;189;3;8;2;SquatJack
27.38;105.72;-11.12;3779.07;67558.37;58856.54;244;1053;1005;8;4;2;SquatJack
147.6;40.57;196.9;11937.61;28711.78;12150.96;381;597;374;5;5;0;SquatJack
0.42;-4.82;-41.45;9060.08;14954.25;13324.25;476;782;504;6;5;4;SquatJack
13.37;8.38;7.07;263.33;543.57;633.03;57;105;99;11;13;5;SquatJack
6.6;-5.83;4.57;196.64;586.77;521.18;94;131;135;11;17;13;SquatJack
1.82;-1.85;4.62;144.72;399.89;279.67;112;156;125;28;17;13;SquatJack
-0.05;-1.3;5.2;251.08;239.38;323.23;119;69;103;19;13;13;SquatJack
0.95;0.63;4.97;81.55;74.0;36.93;44;52;27;9;18;11;SquatJack
28.2;-82.13;217.87;12052.53;23533.32;27239.42;623;723;547;9;6;0;SquatJack
-88.65;259.32;7.05;42177.93;36427.72;47656.21;725;744;860;5;2;4;SquatJack
346.18;52.55;179.32;135186.18;95344.25;45269.32;1213;1133;961;1;4;5;SquatJack
-175.58;-8.77;-8.63;17316.48;8601.68;17735.97;425;368;561;6;9;7;SquatJack
6.37;8.68;33.98;2267.1;5682.15;2943.75;182;364;261;4;8;12;SquatJack
-40.2;-73.22;-0.22;290060.26;72617.77;63718.67;1609;1085;1097;1;5;5;SquatJack
91.27;129.93;121.48;16731.16;39756.86;35350.98;588;817;1089;5;4;4;SquatJack
-33.2;-20.38;-50.63;4961.29;6670.44;2913.33;239;326;247;6;7;6;SquatJack
22.27;8.25;20.9;18320.16;9172.19;18965.99;497;371;548;8;8;6;SquatJack
40.7;-35.05;-32.15;5636.94;8312.61;12043.36;280;468;422;7;5;6;SquatJack
311.88;62.4;6.83;16659.54;35384.47;105732.84;471;771;1139;0;7;1;SquatJack
9.28;41.07;270.32;3917.0;9398.96;75903.12;314;487;853;17;8;2;SquatJack
57.02;-4.82;-29.68;2061.25;6412.38;1550.32;189;403;162;7;15;14;SquatJack
33.02;-5.58;-8.93;1296.95;2144.28;1440.73;144;180;145;8;13;11;SquatJack
32.65;-21.87;-42.95;4094.93;5087.38;3357.65;222;344;212;12;15;9;SquatJack
103.07;-63.28;-115.73;9498.56;5860.27;6968.9;331;377;316;6;8;2;SquatJack
138.05;94.03;247.5;30382.15;12420.13;83632.65;614;433;1037;7;7;2;SquatJack
19.78;37.18;48.93;3018.4;4835.95;19748.46;297;292;530;7;11;9;SquatJack
42.05;-0.65;-18.37;717.78;1325.19;1258.93;123;165;184;2;20;13;SquatJack
30.42;-15.95;-35.17;806.31;4390.51;2340.01;125;259;234;8;14;7;SquatJack
59.05;-62.95;-72.87;4670.91;5316.01;5449.48;291;257;288;4;12;3;SquatJack
208.7;58.5;34.47;8823.08;27691.42;52616.88;414;630;773;0;9;3;SquatJack
-20.48;40.73;222.83;5379.35;3739.26;67130.71;247;289;808;8;12;5;SquatJack
43.08;0.47;-30.38;2956.91;4234.05;1376.6;240;254;140;11;12;7;SquatJack
38.68;-18.1;-15.93;2268.62;3357.12;2721.73;208;250;278;8;10;10;SquatJack
33.33;-29.95;-56.02;1026.39;5561.61;5581.25;133;305;289;8;12;10;SquatJack
245.52;-24.68;-143.05;13494.25;17520.38;5854.48;533;627;321;2;9;3;SquatJack
90.17;31.45;386.88;25614.74;22051.95;61553.64;565;537;825;4;13;0;SquatJack
39.97;-2.58;-14.78;1485.43;5759.31;3689.87;157;347;280;9;18;12;SquatJack
48.07;17.65;-38.45;1732.4;4386.76;3904.55;176;230;223;7;9;9;SquatJack
32.97;-21.42;-44.6;1834.1;12928.34;3389.84;198;457;271;11;11;12;SquatJack
164.15;-85.13;-144.53;13370.26;21532.42;9494.35;412;776;357;2;9;3;SquatJack
76.45;91.77;343.4;36790.41;24931.68;63046.71;670;648;965;4;11;3;SquatJack
39.82;21.47;0.58;3250.28;6129.85;7594.44;295;358;407;10;14;9;SquatJack
38.22;20.33;-23.55;2365.47;4496.79;3793.98;231;277;259;8;17;7;SquatJack
46.03;-40.93;-58.83;9647.77;10818.96;10055.31;447;417;472;10;10;11;SquatJack
130.5;-72.25;-111.5;7746.12;8446.45;4325.25;358;401;230;2;9;4;SquatJack
80.02;89.1;252.72;17564.52;25704.02;56188.37;597;557;862;5;9;5;SquatJack
7.77;25.58;15.57;3050.51;6777.61;6429.31;229;431;389;10;13;16;SquatJack
30.65;-4.57;-6.9;2300.43;3617.18;2503.99;200;279;228;12;16;13;SquatJack
47.13;-29.53;-14.82;2487.65;5251.78;2012.02;209;307;218;9;11;16;SquatJack
76.35;-77.67;-104.6;3567.53;5804.56;4136.04;254;307;277;4;9;2;SquatJack
207.03;92.83;51.25;13923.2;15045.21;68515.42;435;494;841;1;9;5;SquatJack
0.95;0.0;199.95;8038.98;23422.57;60125.31;367;710;876;14;13;7;SquatJack
41.47;14.22;-20.78;933.72;5355.4;3161.14;110;313;219;8;15;18;SquatJack
47.33;-24.07;-32.02;2095.92;4511.6;4572.38;221;254;359;7;17;11;SquatJack
61.4;-50.85;-117.7;16300.21;7177.39;10334.98;522;351;425;9;12;7;SquatJack
246.82;16.43;78.42;16789.35;15901.18;78264.21;544;522;967;2;11;3;SquatJack
3.43;20.33;178.53;9304.38;14496.49;73145.02;412;529;928;10;14;5;SquatJack
34.6;-2.63;-16.83;1643.57;4335.87;3357.14;203;288;279;8;13;11;SquatJack
41.08;-20.95;-28.63;2535.74;4558.31;2442.7;222;291;268;8;11;12;SquatJack
54.03;-63.75;-86.35;5161.97;6385.49;5423.63;281;333;323;11;12;5;SquatJack
202.38;46.9;-4.62;9996.24;14846.82;56915.97;424;585;1081;4;11;5;SquatJack
-15.87;36.85;227.28;12987.68;30502.93;58251.14;568;878;905;12;16;8;SquatJack
50.8;-7.35;-38.7;1032.33;4459.69;3918.18;156;280;274;3;17;10;SquatJack
22.45;-17.78;-32.07;1753.31;3679.34;2330.36;189;274;244;11;13;10;SquatJack
31.35;-34.52;-56.27;2817.36;4164.25;2103.6;238;268;212;9;9;7;SquatJack
272.0;14.85;-33.68;13001.5;19300.99;81344.22;484;564;961;1;8;3;SquatJack
4.7;50.35;272.62;9318.08;18579.56;92180.6;341;622;1072;13;16;7;SquatJack
49.63;-1.78;-39.95;1405.5;11858.94;3033.68;174;385;262;5;13;12;SquatJack
39.63;-7.25;-43.63;2320.93;11895.22;2582.83;221;423;234;7;11;10;SquatJack
48.93;-53.18;-58.25;6622.63;7262.55;4396.85;364;344;320;5;9;5;SquatJack
255.98;20.13;3.25;17185.75;31111.38;103798.39;534;790;1115;2;13;5;SquatJack
-9.37;44.43;231.27;12795.47;17510.45;96958.8;489;537;1008;8;15;8;SquatJack
42.05;-24.57;-38.03;3834.95;4745.35;4700.83;309;265;299;9;10;9;SquatJack
20.6;15.73;-31.77;981.61;4862.3;1115.55;159;373;158;8;10;9;SquatJack
65.07;-78.45;-85.05;4387.66;13694.75;7526.28;296;683;398;4;7;7;SquatJack
233.93;44.48;55.58;14833.0;28046.75;114917.54;560;739;1206;2;12;1;SquatJack
-4.18;17.03;159.4;5543.48;26946.67;73485.77;325;769;1018;10;13;14;SquatJack
20.0;3.37;-14.45;1430.9;4065.6;5024.55;163;284;288;13;15;14;SquatJack
27.97;-4.32;-26.12;2080.2;5746.25;2090.8;184;322;231;13;11;15;SquatJack
27.75;-20.42;-25.87;3747.05;8401.94;3834.02;236;425;305;9;12;10;SquatJack
72.43;-60.25;-99.0;3901.21;23406.82;6272.3;254;704;362;8;10;7;SquatJack
118.45;36.18;158.18;23213.81;78578.38;73891.88;630;1409;937;8;12;9;SquatJack
15.53;24.17;72.4;8279.65;26877.11;39904.21;387;654;859;13;15;11;SquatJack
31.1;-6.25;-22.73;2099.52;9735.65;1873.2;192;421;187;14;13;12;SquatJack
32.95;-17.92;-24.55;2843.11;3279.34;6672.28;222;326;372;10;14;14;SquatJack
43.97;-45.77;-61.78;4607.7;10033.85;2576.5;278;477;195;12;13;13;SquatJack
50.33;7.35;-56.23;7809.79;10405.69;20966.71;311;426;584;9;15;10;SquatJack
111.28;29.27;200.75;21542.2;38320.8;94340.75;560;845;1017;7;14;7;SquatJack
12.07;9.95;22.53;5800.4;40790.05;20399.55;315;988;564;16;16;13;SquatJack
35.28;-7.97;-9.15;2273.74;14855.13;6527.76;194;552;519;12;16;9;SquatJack
14.72;-19.58;-30.95;3034.4;5319.34;2572.61;192;258;193;9;12;16;SquatJack
-82.65;-62.85;-105.27;36415.06;31791.39;37162.6;1003;679;832;5;6;9;SquatJack
259.93;61.1;123.83;69634.4;11165.92;29478.24;824;437;655;1;10;1;SquatJack
130.05;148.27;100.63;12385.85;30892.86;16053.33;411;623;555;2;3;1;SquatJack
140.2;-119.22;233.05;4853.06;14130.1;21225.08;545;618;438;1;5;0;SquatJack
-58.38;34.05;1.97;4139.94;14154.18;8670.33;379;954;393;7;12;5;SquatJack
75.58;-45.88;16.25;1096.71;10143.57;5719.05;118;350;251;0;3;2;SquatJack
25.93;16.33;9.95;921.06;2271.12;7506.85;206;215;332;7;7;8;SquatJack
-22.45;26.18;-21.78;2892.38;8490.42;6453.17;214;359;366;5;9;4;SquatJack
-25.45;11.87;-44.98;1678.15;7827.58;7896.38;132;294;321;2;1;2;SquatJack
-49.12;31.5;41.82;3154.94;3784.22;5540.38;465;274;298;4;10;6;SquatJack
-12.72;15.42;28.93;2587.87;2166.48;1484.93;190;208;190;12;9;7;SquatJack
-26.4;29.13;-2.92;1766.37;2221.75;3522.94;138;167;204;4;3;4;SquatJack
-42.0;16.98;-61.23;2939.1;2127.78;4993.81;185;219;258;4;7;4;SquatJack
-1.75;-15.7;17.45;1810.75;6788.91;3587.05;182;347;279;5;5;8;SquatJack
